price,bedroom,hsize,lsize,location,facility
1700000000 ,3,86,96,Malang,
465000000 ,2,56,72,Perak,
850000000 ,3,70,60,Lowokwaru,
1000000000 ,2,60,58,Blimbing,2.0
1400000000 ,3,70,126,Lowokwaru,
725000000 ,3,65,96,Lowokwaru,
2500000000 ,5,275,225,Malang,
1500000000 ,5,130,152,Sukun,
650000000 ,3,70,105,Lowokwaru,
3650000000 ,4,600,380,Malang,
671000000 ,3,57,66,Dau,
1700000000 ,2,80,112,Blimbing,
550000000 ,2,60,112,Blimbing,
3500000000 ,2,150,454,Lowokwaru,
4700000000 ,3,300,343,Sukun,
15000000000 ,11,340,420,Lowokwaru,
678000000 ,2,60,70,Sukun,
2700000000 ,9,220,234,Lowokwaru,
825000000 ,3,100,91,Klojen,
298000000 ,2,30,60,Sukun,
2500000000 ,3,170,225,Blimbing,
8000000000 ,7,200,594,Malang,
525000000 ,2,54,86,Blimbing,4.0
11000000000 ,6,600,975,Pisangcandi,8.0
667000000 ,3,90,90,Sukun,8.0
3600000000 ,18,380,200,Lowokwaru,
335800000 ,2,50,80,Dau,7.0
1250000000 ,3,71,101,Mojolangu,7.0
1500000000 ,3,180,210,Lowokwaru,7.0
399000000 ,65,60,60,Malang,
850000000 ,3,96,175,Malang,
700000000 ,3,80,97,Klojen,
680000000 ,2,46,81,Blimbing,2.0
685000000 ,3,100,89,Singosari,6.0
624666000 ,2,54,80,65152,4.0
2500000000 ,3,108,264,Sukun,
700000000 ,3,100,60,Lowokwaru,
6000000000 ,5,300,390,Lowokwaru,8.0
621000000 ,3,62,80,Dau,
1450000000 ,4,140,110,Blimbing,
4900000000 ,4,200,300,Sukun,
3500000000 ,3,300,351,Sukun,
2300000000 ,4,300,280,Blimbing,
675000000 ,3,75,84,Ploso,1.0
775000000 ,3,187,187,Malang,4.0
1650000000 ,3,150,160,Polowijen,3.0
300000000 ,2,60,60,Malang,
1250000000 ,3,82,135,Sukun,
250000000 ,2,30,72,Tajinan,
2800000000 ,4,290,200,Blimbing,6.0
800000000 ,3,70,105,Kedungkandang,2.0
1200000000 ,2,75,98,Sukun,
750000000 ,4,90,72,Kedungkandang,
600000000 ,4,232,232,Malang,
1750000000 ,5,150,98,Kedungkandang,2.0
600000000 ,2,90,84,Lowokwaru,
